Timestamp,Sensor 1 (Temperature C),Sensor 2 (Pressure KPa),Wind speed (m/s),Vibration (Hz),n (RPM),Power Output (MW),Ambient Temperature (deg C),Stop Event,Stop Reason
9/14/2024 8:30,88,107,4.8,1475,44,35,20,Scheduled Stop,Cooling System Check
9/15/2024 10:00,91,111,5.2,1445,41,36,27,Emergency Stop,Overheating Detected
9/16/2024 8:00,84,103,4.4,1500,45,31,13,Normal Operation,N/A
9/17/2024 11:00,97,120,5.7,1400,39,39,32,Failure,Extreme High Wind Speed
9/18/2024 9:30,82,100,4.2,1515,47,28,10,Normal Operation,N/A
9/19/2024 8:00,86,105,4.6,1480,44,32,17,Scheduled Stop,Electrical System Maintenance
9/20/2024 10:00,89,109,4.9,1460,43,34,21,Emergency Stop,High Wind Speed
9/21/2024 9:00,81,99,4.1,1510,45,29,12,Normal Operation,N/A
9/22/2024 8:30,90,110,5,1445,42,33,18,Scheduled Stop,Gearbox Inspection
9/23/2024 9:00,93,114,5.3,1430,41,36,24,Emergency Stop,Sudden Drop in Pressure
9/24/2024 12:00,87,108,4.8,1450,43,34,19,Normal Operation,N/A
9/25/2024 10:00,94,116,5.4,1410,40,38,30,Failure,Bearing Overheating
9/26/2024 11:00,84,103,4.4,1500,46,31,14,Normal Operation,N/A
9/27/2024 9:00,92,113,5.2,1440,42,35,23,Emergency Stop,High Vibration Levels
9/28/2024 8:00,85,104,4.5,1495,45,32,16,Scheduled Stop,Lubrication System Check
9/29/2024 10:30,96,119,5.7,1410,39,37,28,Failure,Rotor Imbalance
9/30/2024 11:00,84,103,4.4,1500,44,32,15,Normal Operation,N/A
10/1/2024 8:00,89,110,5,1465,43,34,22,Emergency Stop,High Wind Speed
